,Quarter,Tm,Detail,CHI,MIN
0,1,Bears,Jim Harbaugh 1 yard rush (Kevin Butler kick),7,0
1,2,Vikings,Fuad Reveiz 22 yard field goal,7,3
2,4,Vikings,Cris Carter 16 yard pass from Jim McMahon (Fuad Reveiz kick),7,10
