,Quarter,Tm,Detail,CHI,CRD
0,1.0,Cardinals,John Grigas 1 yard rush (Conway Baker kick),0,7
1,2.0,Bears,Harry Clarke 15 yard pass from Sid Luckman (Bob Snyder kick),7,7
2,2.0,Cardinals,Conway Baker 17 yard field goal,7,10
3,2.0,Bears,Hampton Pool 35 yard pass from Sid Luckman (Bob Snyder kick),14,10
4,3.0,Cardinals,Bob Morrow 3 yard rush (Conway Baker kick),14,17
5,3.0,Cardinals,John Grigas 28 yard rush (Chet Bulger kick),14,24
6,4.0,Bears,Bronko Nagurski 1 yard rush (Bob Snyder kick),21,24
7,4.0,Bears,Harry Clarke 25 yard pass from Sid Luckman (Bob Snyder kick),28,24
8,4.0,Bears,George Wilson 10 yard pass from Sid Luckman (Bob Snyder kick),35,24
