,Quarter,Tm,Detail,RAI,SEA
0,1.0,Raiders,Jeff Jaeger 47 yard field goal,3,0
1,2.0,Seahawks,Norm Johnson 22 yard field goal,3,3
2,3.0,Seahawks,John Williams 2 yard rush (Norm Johnson kick),3,10
3,4.0,Raiders,Mervyn Fernandez 12 yard pass from Jay Schroeder (Jeff Jaeger kick),10,10
4,4.0,Seahawks,Norm Johnson 19 yard field goal,10,13
5,4.0,Raiders,Greg Bell 1 yard rush (Jeff Jaeger kick),17,13
