,Quarter,Tm,Detail,ATL,RAM
0,2.0,Rams,David Ray 20 yard field goal,0,3
1,3.0,Falcons,Ken Vinyard 39 yard field goal,3,3
2,3.0,Falcons,Jim Mitchell 40 yard pass from Bob Berry (Ken Vinyard kick),10,3
3,4.0,Rams,Willie Ellison 4 yard pass from Roman Gabriel (David Ray kick),10,10
