,Quarter,Time,Tm,Detail,PHI,MIA
0,1.0,14:00,Eagles,Miles Sanders 15 yard pass from Carson Wentz (Jake Elliott kick),7,0
1,1.0,10:15,Eagles,Jake Elliott 48 yard field goal,10,0
2,1.0,3:14,Dolphins,DeVante Parker 43 yard pass from Ryan Fitzpatrick (Jason Sanders kick),10,7
3,2.0,11:13,Eagles,Jake Elliott 43 yard field goal,13,7
4,2.0,4:44,Dolphins,Jason Sanders 1 yard pass from Matt Haack (Jason Sanders kick),13,14
5,2.0,0:13,Eagles,JJ Arcega-Whiteside 15 yard pass from Carson Wentz (Nelson Agholor pass from Carson Wentz ),21,14
6,3.0,11:51,Eagles,Alshon Jeffery 10 yard pass from Carson Wentz (Jake Elliott kick),28,14
7,3.0,8:51,Dolphins,DeVante Parker 17 yard pass from Ryan Fitzpatrick (Jason Sanders kick failed),28,20
8,3.0,1:17,Dolphins,Mike Gesicki 14 yard pass from Ryan Fitzpatrick (pass failed),28,26
9,4.0,11:11,Dolphins,Patrick Laird 4 yard rush (Patrick Laird pass from Ryan Fitzpatrick),28,34
10,4.0,3:42,Dolphins,Jason Sanders 51 yard field goal,28,37
11,4.0,1:55,Eagles,Jake Elliott 37 yard field goal,31,37
