,Quarter,Tm,Detail,NOR,DET
0,1.0,Lions,Carl Bland 9 yard pass from Chuck Long (Eddie Murray kick),0,7
1,2.0,Saints,Lonzell Hill 29 yard pass from Bobby Hebert (Morten Andersen kick),7,7
2,2.0,Lions,Carl Bland 10 yard pass from Chuck Long (Eddie Murray kick),7,14
3,3.0,Saints,Morten Andersen 37 yard field goal,10,14
4,3.0,Saints,"Safety, Jackson tackled Long in end zone",12,14
5,3.0,Saints,Dalton Hilliard 4 yard rush (Morten Andersen kick),19,14
6,4.0,Saints,Morten Andersen 29 yard field goal,22,14
