,Quarter,Tm,Detail,PIT,PHI
0,1,Steelers,Gary Glick 17 yard field goal,3,0
1,2,Eagles,Dick Bielski 7 yard pass from Sonny Jurgensen (Bobby Walston kick),3,7
2,3,Steelers,Gary Glick 23 yard field goal,6,7
