,Quarter,Tm,Detail,CHI,DEN
0,2.0,Broncos,Jim Turner 37 yard field goal,0,3
1,2.0,Bears,Mac Percival 34 yard field goal,3,3
2,4.0,Broncos,Jim Turner 33 yard field goal,3,6
