,Quarter,Time,Tm,Detail,SEA,KAN
0,1.0,1:34,Seahawks,Itula Mili 1 yard pass from Jon Kitna (Rian Lindell kick),7,0
1,2.0,6:59,Chiefs,Tony Gonzalez 15 yard pass from Elvis Grbac (Pete Stoyanovich kick),7,7
2,2.0,0:48,Seahawks,Shaun Alexander 7 yard rush (Rian Lindell kick),14,7
3,3.0,6:24,Seahawks,Rian Lindell 27 yard field goal,17,7
4,3.0,2:15,Chiefs,Derrick Alexander 17 yard pass from Elvis Grbac (Pete Stoyanovich kick),17,14
5,4.0,11:42,Chiefs,Pete Stoyanovich 27 yard field goal,17,17
6,4.0,4:26,Chiefs,Mike Cloud 15 yard rush (Pete Stoyanovich kick),17,24
