,Quarter,Tm,Detail,MIN,CHI
0,1.0,Bears,Matt Suhey 2 yard rush,0,6
1,2.0,Bears,Dennis McKinnon 18 yard pass from Jim McMahon (Bob Thomas kick),0,13
2,2.0,Bears,Bob Thomas 19 yard field goal,0,16
3,4.0,Vikings,Leo Lewis 22 yard pass from Wade Wilson (Jan Stenerud kick),7,16
