,Quarter,Time,Tm,Detail,HOU,TEN
0,2.0,10:08,Titans,Vince Young 20 yard rush (Rob Bironas kick),0,7
1,2.0,4:46,Texans,Kris Brown 27 yard field goal,3,7
2,2.0,0:08,Titans,Tony Brown 40 yard defensive fumble return (Rob Bironas kick),3,14
3,3.0,8:13,Titans,Bobby Wade 20 yard pass from Vince Young (Rob Bironas kick),3,21
4,3.0,1:46,Texans,Andre Johnson 10 yard pass from Sage Rosenfels (Kris Brown kick),10,21
5,4.0,10:52,Titans,Adam Jones 53 yard punt return (Rob Bironas kick),10,28
6,4.0,7:37,Texans,Owen Daniels 1 yard pass from Sage Rosenfels (Kris Brown kick failed),16,28
7,4.0,1:54,Texans,Owen Daniels 2 yard pass from Sage Rosenfels (pass failed),22,28
