,Quarter,Time,Tm,Detail,OAK,DEN
0,1.0,,Broncos,Terrell Davis 3 yard rush (Jason Elam kick),0,7
1,1.0,,Raiders,Cole Ford 38 yard field goal,3,7
2,2.0,,Broncos,Aaron Craver 1 yard rush (Jason Elam kick),3,14
3,2.0,,Broncos,Rod Smith 20 yard pass from John Elway (Jason Elam kick),3,21
4,2.0,,Broncos,Jason Elam 28 yard field goal,3,24
5,3.0,,Raiders,Cole Ford 35 yard field goal,6,24
6,3.0,,Raiders,Lance Johnstone 1 yard defensive fumble return (run failed),12,24
7,4.0,,Raiders,Daryl Hobbs 7 yard pass from Jeff Hostetler (Cole Ford kick),19,24
