,Quarter,Time,Tm,Detail,CLE,DET
0,1.0,,Lions,Barry Sanders 11 yard rush (Jason Hanson kick),0,7
1,1.0,,Browns,Matt Stover 22 yard field goal,3,7
2,1.0,,Lions,Barry Sanders 75 yard rush (Jason Hanson kick),3,14
3,2.0,,Lions,Brett Perriman 14 yard pass from Scott Mitchell (Jason Hanson kick),3,21
4,2.0,,Lions,Jason Hanson 56 yard field goal,3,24
5,3.0,,Lions,Barry Sanders 2 yard rush (Jason Hanson kick),3,31
6,3.0,,Browns,Michael Jackson 17 yard pass from Vinny Testaverde (Matt Stover kick),10,31
7,4.0,,Lions,Brett Perriman 28 yard pass from Scott Mitchell (Jason Hanson kick),10,38
8,4.0,,Browns,Matt Stover 38 yard field goal,13,38
9,4.0,,Browns,Walter Reeves 1 yard pass from Eric Zeier (Matt Stover kick),20,38
