,Quarter,Tm,Detail,SEA,DEN
0,2.0,Broncos,David Treadwell 17 yard field goal,0,3
1,2.0,Broncos,Ricky Nattiel 61 yard pass from John Elway (David Treadwell kick),0,10
2,3.0,Broncos,David Treadwell 25 yard field goal,0,13
3,4.0,Broncos,David Treadwell 35 yard field goal,0,16
4,4.0,Seahawks,John Kasay 28 yard field goal,3,16
5,4.0,Seahawks,Derrick Fenner 1 yard rush (John Kasay kick),10,16
