,Quarter,Tm,Detail,PHI,CHI
0,2.0,Bears,Ken Kavanaugh 74 yard pass from Sid Luckman (Ray McLean kick),0,7
1,2.0,Bears,Hugh Gallarneau 2 yard rush (Ray McLean kick),0,14
2,2.0,Bears,Ken Kavanaugh 70 yard pass from Sid Luckman (Ray McLean kick),0,21
3,3.0,Bears,Hugh Gallarneau 1 yard rush,0,27
4,3.0,Bears,Mike Jarmoluk 24 yard pass from Sid Luckman,0,33
5,4.0,Eagles,Gil Steinke 60 yard pass from Tommy Thompson (Cliff Patton kick),7,33
6,4.0,Bears,Jim Keane 29 yard pass from Nick Sacrinty (Ray McLean kick),7,40
