,Quarter,Tm,Detail,NYJ,BOS
0,1.0,Jets,Matt Snell 2 yard rush (Jim Turner kick),7,0
1,2.0,Patriots,Jim Nance 11 yard rush (Gino Cappelletti kick),7,7
2,2.0,Jets,Emerson Boozer 5 yard rush (Jim Turner kick),14,7
3,2.0,Jets,Pete Lammons 4 yard pass from Joe Namath (Jim Turner kick),21,7
4,3.0,Jets,Earlie Thomas 36 yard interception return (Jim Turner kick),28,7
5,3.0,Patriots,Ron Sellers 40 yard pass from Mike Taliaferro (Gino Cappelletti kick),28,14
6,3.0,Patriots,Carl Garrett 6 yard rush (Gino Cappelletti kick),28,21
7,4.0,Jets,Jim Turner 25 yard field goal,31,21
