,Quarter,Tm,Detail,BUF,TAM
0,1.0,Bills,Carwell Gardner 1 yard rush (Scott Norwood kick),7,0
1,3.0,Buccaneers,Reggie Cobb 1 yard rush (Steve Christie kick),7,7
2,3.0,Bills,Scott Norwood 33 yard field goal,10,7
3,4.0,Buccaneers,Steve Christie 19 yard field goal,10,10
4,4.0,Bills,Keith McKeller 29 yard pass from Jim Kelly (Scott Norwood kick),17,10
