,Quarter,Time,Tm,Detail,TAM,NOR
0,1.0,9:54,Buccaneers,Matt Bryant 27 yard field goal,3,0
1,1.0,2:05,Saints,Terrance Copper 4 yard pass from Drew Brees (Olindo Mare kick),3,7
2,2.0,14:20,Buccaneers,Anthony Becht 1 yard pass from Luke McCown (Matt Bryant kick),10,7
3,2.0,7:52,Buccaneers,Matt Bryant 31 yard field goal,13,7
4,2.0,3:21,Saints,Devery Henderson 45 yard pass from Drew Brees (Olindo Mare kick),13,14
5,3.0,9:36,Buccaneers,Earnest Graham 25 yard rush (Matt Bryant kick),20,14
6,3.0,3:05,Saints,Mike McKenzie 53 yard interception return (Olindo Mare kick),20,21
7,4.0,3:44,Saints,"Safety,",20,23
8,4.0,0:14,Buccaneers,Jerramy Stevens 4 yard pass from Luke McCown (Matt Bryant kick),27,23
