,Quarter,Tm,Detail,NYG,DAL
0,1.0,Giants,Raul Allegre 37 yard field goal,3,0
1,2.0,Cowboys,Roger Ruzek 19 yard field goal,3,3
2,2.0,Giants,Ottis Anderson 1 yard rush (Raul Allegre kick),10,3
3,2.0,Cowboys,Roger Ruzek 33 yard field goal,10,6
4,2.0,Giants,Dave Meggett 33 yard pass from Phil Simms (Raul Allegre kick),17,6
5,2.0,Giants,Raul Allegre 32 yard field goal,20,6
6,3.0,Giants,Mark Bavaro 13 yard pass from Phil Simms (Raul Allegre kick),27,6
7,4.0,Giants,Raul Allegre 27 yard field goal,30,6
8,4.0,Cowboys,Herschel Walker 27 yard pass from Steve Walsh (Roger Ruzek kick),30,13
