,Quarter,Tm,Detail,NYG,BUF
0,4,Giants,George Benyola 22 yard field goal,3,0
1,4,Bills,Todd Schlopy 31 yard field goal,3,3
2,OT,Bills,Todd Schlopy 27 yard field goal,3,6
