,Quarter,Tm,Detail,WAS,DAL
0,1.0,Cowboys,Butch Johnson 28 yard pass from Danny White (Rafael Septien kick),0,7
1,2.0,Cowboys,Rafael Septien 25 yard field goal,0,10
2,2.0,Redskins,Nick Giaquinto 7 yard pass from Joe Theismann (Mark Moseley kick),7,10
3,3.0,Redskins,Mark Moseley 26 yard field goal,10,10
4,3.0,Cowboys,Doug Cosbie 10 yard pass from Danny White (Rafael Septien kick),10,17
5,4.0,Cowboys,Ron Springs 1 yard rush (Rafael Septien kick),10,24
