,Quarter,Time,Tm,Detail,DAL,WAS
0,1.0,,Cowboys,Chris Boniol 32 yard field goal,3,0
1,1.0,,Redskins,Eddie Murray 38 yard field goal,3,3
2,1.0,,Cowboys,Darren Woodson 37 yard interception return (Chris Boniol kick),10,3
3,2.0,3:25,Redskins,Marc Logan 9 yard pass from Gus Frerotte (Eddie Murray kick),10,10
4,2.0,3:25,Redskins,Eddie Murray 46 yard field goal,10,13
5,2.0,3:25,Redskins,Terry Allen 5 yard pass from Gus Frerotte (Eddie Murray kick),10,20
6,3.0,3:25,Redskins,Terry Allen 1 yard rush (Eddie Murray kick),10,27
7,3.0,3:25,Cowboys,Chris Boniol 34 yard field goal,13,27
8,4.0,3:25,Cowboys,Michael Irvin 28 yard pass from Wade Wilson (Chris Boniol kick),20,27
9,4.0,3:25,Cowboys,Chris Boniol 23 yard field goal,23,27
