,Quarter,Tm,Detail,GNB,CHI
0,1.0,Bears,Chick Jagade 42 yard rush (George Blanda kick),0,7
1,1.0,Bears,Bobby Watkins 13 yard rush (George Blanda kick),0,14
2,2.0,Packers,Fred Cone 41 yard field goal,3,14
3,2.0,Bears,Bobby Watkins 29 yard rush (George Blanda kick),3,21
4,2.0,Bears,Rick Casares 2 yard rush (George Blanda kick),3,28
5,3.0,Bears,Harlon Hill 14 yard pass from Ed Brown (George Blanda kick),3,35
6,3.0,Bears,George Blanda 38 yard field goal,3,38
7,4.0,Bears,Bill McColl 24 yard pass from Bob Williams (George Blanda kick),3,45
8,4.0,Packers,Billy Howton 27 yard pass from Tobin Rote (Fred Cone kick),10,45
9,4.0,Packers,Howie Ferguson 1 yard rush (Fred Cone kick),17,45
10,4.0,Bears,Ron Drzewiecki 11 yard rush (George Blanda kick),17,52
11,4.0,Packers,Howie Ferguson 1 yard rush (Fred Cone kick),24,52
12,4.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),31,52
