,Quarter,Tm,Detail,DET,GNB
0,1.0,Packers,Jessie Clark 1 yard rush (Al Del Greco kick),0,7
1,1.0,Packers,Paul Coffman 20 yard pass from Lynn Dickey (Al Del Greco kick),0,14
2,1.0,Lions,Eddie Murray 46 yard field goal,3,14
3,2.0,Lions,Eddie Murray 37 yard field goal,6,14
4,2.0,Packers,Paul Coffman 3 yard pass from Lynn Dickey (Al Del Greco kick),6,21
5,2.0,Lions,Eddie Murray 41 yard field goal,9,21
6,2.0,Packers,Blake Moore 3 yard pass from Lynn Dickey (Al Del Greco kick),9,28
7,3.0,Packers,James Lofton 6 yard pass from Lynn Dickey (Al Del Greco kick),9,35
8,3.0,Packers,Al Del Greco 45 yard field goal,9,38
9,4.0,Packers,Al Del Greco 34 yard field goal,9,41
