,Quarter,Time,Tm,Detail,MIN,KAN
0,1.0,8:28,Chiefs,Tyreek Hill 40 yard pass from Matt Moore (Harrison Butker kick),0,7
1,1.0,2:54,Vikings,Olabisi Johnson 4 yard pass from Kirk Cousins (Dan Bailey kick),7,7
2,2.0,4:38,Chiefs,Harrison Butker 24 yard field goal,7,10
3,2.0,0:09,Vikings,Dan Bailey 29 yard field goal,10,10
4,3.0,11:57,Vikings,Ameer Abdullah 16 yard pass from Kirk Cousins (Dan Bailey kick failed),16,10
5,3.0,6:25,Chiefs,Damien Williams 91 yard rush (Harrison Butker kick),16,17
6,3.0,0:35,Chiefs,Harrison Butker 45 yard field goal,16,20
7,4.0,11:03,Vikings,Kyle Rudolph 3 yard pass from Kirk Cousins (Dan Bailey kick),23,20
8,4.0,2:36,Chiefs,Harrison Butker 54 yard field goal,23,23
9,4.0,0:03,Chiefs,Harrison Butker 44 yard field goal,23,26
