,Quarter,Time,Tm,Detail,NYG,PHI
0,1.0,4:05,Giants,Brad Daluiso 32 yard field goal,3,0
1,2.0,11:43,Giants,Brad Daluiso 36 yard field goal,6,0
2,2.0,5:22,Eagles,David Akers 33 yard field goal,6,3
3,2.0,1:00,Giants,Amani Toomer 25 yard pass from Kerry Collins (Brad Daluiso kick),13,3
4,2.0,0:14,Giants,Tiki Barber 31 yard rush (Brad Daluiso kick),20,3
5,3.0,9:09,Eagles,David Akers 29 yard field goal,20,6
6,3.0,4:01,Giants,Ike Hilliard 30 yard pass from Kerry Collins (Brad Daluiso kick),27,6
7,3.0,0:56,Eagles,Donovan McNabb 15 yard rush (David Akers kick failed),27,12
8,4.0,8:40,Giants,Brad Daluiso 44 yard field goal,30,12
9,4.0,3:59,Giants,Brad Daluiso 23 yard field goal,33,12
10,4.0,1:22,Eagles,Chad Lewis 7 yard pass from Donovan McNabb (pass failed),33,18
