,Quarter,Time,Tm,Detail,ARI,NYG
0,1.0,7:41,Cardinals,Bill Gramatica 42 yard field goal,3,0
1,1.0,5:08,Giants,Ron Dixon 26 yard pass from Kerry Collins (Morten Andersen kick),3,7
2,2.0,13:33,Cardinals,Bill Gramatica 23 yard field goal,6,7
3,4.0,11:50,Giants,Morten Andersen 39 yard field goal,6,10
4,4.0,4:04,Cardinals,Tywan Mitchell 24 yard pass from Jake Plummer (Bill Gramatica kick),13,10
5,4.0,0:25,Giants,Amani Toomer 4 yard pass from Kerry Collins (Morten Andersen kick),13,17
