,Quarter,Tm,Detail,PHI,DAL
0,1.0,Eagles,Bobby Walston 20 yard field goal,3,0
1,1.0,Eagles,Billy Ray Barnes 5 yard rush,9,0
2,2.0,Eagles,Clarence Peaks 1 yard rush (Bobby Walston kick),16,0
3,3.0,Eagles,Clarence Peaks 8 yard rush,22,0
4,3.0,Cowboys,J.W. Lockett 5 yard pass from Don Meredith (Allen Green kick),22,7
5,3.0,Eagles,Ted Dean 2 yard rush (Bobby Walston kick),29,7
6,3.0,Eagles,Tommy McDonald 14 yard pass from King Hill (Bobby Walston kick),36,7
7,4.0,Eagles,Theron Sapp 1 yard rush (Bobby Walston kick),43,7
