,Quarter,Tm,Detail,PHI,SDG
0,1.0,Eagles,Bill Dunstan 46 yard defensive fumble return,6,0
1,2.0,Eagles,Tom Sullivan 1 yard rush (Tom Dempsey kick),13,0
2,2.0,Chargers,Gary Garrison 6 yard pass from Dan Fouts (Dennis Partee kick),13,7
