,Quarter,Time,Tm,Detail,DEN,HOU
0,1.0,7:31,Broncos,Noah Fant 14 yard pass from Drew Lock (Brandon McManus kick),7,0
1,1.0,3:52,Broncos,Kareem Jackson 70 yard touchdown on a lateral (Brandon McManus kick),14,0
2,2.0,11:31,Broncos,Jeff Heuerman 8 yard pass from Drew Lock (Brandon McManus kick),21,0
3,2.0,8:53,Texans,Ka'imi Fairbairn 54 yard field goal,21,3
4,2.0,3:07,Broncos,Brandon McManus 36 yard field goal,24,3
5,2.0,0:41,Broncos,Royce Freeman 3 yard pass from Drew Lock (Brandon McManus kick),31,3
6,3.0,9:18,Broncos,Phillip Lindsay 1 yard rush (Brandon McManus kick),38,3
7,3.0,7:46,Texans,DeAndre Hopkins 43 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),38,10
8,4.0,13:45,Texans,Deshaun Watson 6 yard rush (Ka'imi Fairbairn kick),38,17
9,4.0,0:32,Texans,Deshaun Watson 3 yard rush (Ka'imi Fairbairn kick),38,24
