,Quarter,Time,Tm,Detail,DAL,TAM
0,2.0,10:53,Buccaneers,Martin Gramatica 24 yard field goal,0,3
1,2.0,4:13,Buccaneers,Keyshawn Johnson 7 yard pass from Brad Johnson (Martin Gramatica kick),0,10
2,3.0,9:24,Buccaneers,Martin Gramatica 26 yard field goal,0,13
3,3.0,2:03,Buccaneers,Martin Gramatica 50 yard field goal,0,16
