,Quarter,Tm,Detail,HOU,MIA
0,1.0,Dolphins,Norm Bulaich 1 yard rush (Garo Yepremian kick),0,7
1,1.0,Dolphins,Duriel Harris 16 yard pass from Bob Griese (Garo Yepremian kick),0,14
2,1.0,Dolphins,Benny Malone 3 yard rush (Garo Yepremian kick),0,21
3,2.0,Oilers,Dan Pastorini 2 yard rush (Toni Fritsch kick),7,21
4,4.0,Dolphins,Leroy Harris 2 yard rush,7,27
