,Quarter,Tm,Detail,IND,HOU
0,2.0,Oilers,Lorenzo White 13 yard pass from Warren Moon (Tony Zendejas kick),0,7
1,2.0,Oilers,Lorenzo White 7 yard pass from Warren Moon (Tony Zendejas kick),0,14
2,3.0,Colts,Dean Biasucci 33 yard field goal,3,14
3,3.0,Oilers,Tony Zendejas 30 yard field goal,3,17
4,3.0,Colts,Pat Beach 16 yard pass from Jack Trudeau (Dean Biasucci kick),10,17
5,4.0,Oilers,Ernest Givins 6 yard pass from Warren Moon (Tony Zendejas kick),10,24
