,Quarter,Time,Tm,Detail,KAN,ATL
0,1.0,6:48,Falcons,Shawn Jefferson 17 yard pass from Chris Chandler (Morten Andersen kick),0,7
1,1.0,0:19,Chiefs,Tony Gonzalez 21 yard pass from Elvis Grbac (Todd Peterson kick),7,7
2,2.0,6:38,Falcons,Morten Andersen 24 yard field goal,7,10
3,2.0,2:40,Falcons,Morten Andersen 48 yard field goal,7,13
4,3.0,4:41,Falcons,Morten Andersen 42 yard field goal,7,16
5,3.0,0:14,Falcons,Morten Andersen 23 yard field goal,7,19
6,4.0,6:56,Falcons,Brian Kozlowski 6 yard pass from Chris Chandler (Morten Andersen kick),7,26
7,4.0,1:56,Falcons,Morten Andersen 36 yard field goal,7,29
8,4.0,0:10,Chiefs,Frank Moreau 1 yard rush (pass failed),13,29
