,Quarter,Time,Tm,Detail,ATL,CHI
0,1.0,9:58,Bears,Robbie Gould 41 yard field goal,0,3
1,1.0,5:24,Falcons,Matt Bryant 48 yard field goal,3,3
2,1.0,1:10,Bears,Matt Forte 56 yard pass from Jay Cutler (Robbie Gould kick),3,10
3,2.0,8:42,Bears,Robbie Gould 23 yard field goal,3,13
4,2.0,0:55,Bears,Robbie Gould 26 yard field goal,3,16
5,3.0,10:13,Falcons,Matt Bryant 25 yard field goal,6,16
6,3.0,6:55,Bears,Matt Spaeth 1 yard pass from Jay Cutler (Robbie Gould kick),6,23
7,3.0,5:58,Bears,Brian Urlacher defensive fumble recovery in end zone (Robbie Gould kick),6,30
8,4.0,10:23,Falcons,Kroy Biermann 50 yard interception return (run failed),12,30
