,Quarter,Time,Tm,Detail,PIT,DAL
0,1,8:36,Cowboys,Dan Bailey 50 yard field goal,0,3
1,2,11:02,Cowboys,Jason Witten 17 yard pass from Tony Romo (Dan Bailey kick),0,10
2,2,6:03,Steelers,Shaun Suisham 32 yard field goal,3,10
3,2,0:34,Steelers,Heath Miller 30 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,10
4,3,6:03,Cowboys,Dez Bryant 24 yard pass from Tony Romo (Dan Bailey kick),10,17
5,3,4:16,Steelers,Jonathan Dwyer 1 yard rush (Shaun Suisham kick),17,17
6,4,12:37,Steelers,Antonio Brown 7 yard pass from Ben Roethlisberger (Shaun Suisham kick),24,17
7,4,6:55,Cowboys,DeMarco Murray 3 yard rush (Dan Bailey kick),24,24
8,OT,13:36,Cowboys,Dan Bailey 21 yard field goal,24,27
