,Quarter,Time,Tm,Detail,STL,TAM
0,1.0,13:08,Buccaneers,Martin Gramatica 35 yard field goal,0,3
1,1.0,6:25,Rams,Marshall Faulk 2 yard rush (Jeff Wilkins kick),7,3
2,1.0,0:40,Buccaneers,Warrick Dunn 2 yard rush (Martin Gramatica kick),7,10
3,2.0,11:00,Rams,Marshall Faulk 16 yard rush (Jeff Wilkins kick),14,10
4,2.0,4:02,Buccaneers,Keyshawn Johnson 8 yard pass from Shaun King (Martin Gramatica kick),14,17
5,2.0,1:00,Buccaneers,Keyshawn Johnson 17 yard pass from Shaun King (Martin Gramatica kick),14,24
6,3.0,0:20,Rams,Marshall Faulk 27 yard pass from Kurt Warner (Jeff Wilkins kick),21,24
7,3.0,0:00,Buccaneers,Warrick Dunn 52 yard rush (Martin Gramatica kick),21,31
8,4.0,10:53,Rams,Marshall Faulk 9 yard rush (Jeff Wilkins kick),28,31
9,4.0,5:18,Rams,Torry Holt 72 yard pass from Kurt Warner (Jeff Wilkins kick),35,31
10,4.0,0:48,Buccaneers,Warrick Dunn 1 yard rush (Martin Gramatica kick),35,38
