,Quarter,Tm,Detail,NOR,DET
0,2.0,Saints,Benny Ricardo 46 yard field goal,3,0
1,2.0,Lions,Eddie Murray 31 yard field goal,3,3
2,3.0,Lions,Freddie Scott 48 yard rush (Eddie Murray kick),3,10
3,3.0,Saints,Wes Chandler 4 yard pass from Archie Manning (Benny Ricardo kick),10,10
4,4.0,Lions,Billy Sims 9 yard rush (Eddie Murray kick),10,17
5,4.0,Saints,Benny Ricardo 22 yard field goal,13,17
6,4.0,Lions,Billy Sims 1 yard rush (Eddie Murray kick),13,24
