,Quarter,Tm,Detail,CHI,GNB
0,2.0,Packers,Carroll Dale 6 yard pass from Zeke Bratkowski (Don Chandler kick),0,7
1,4.0,Bears,Gale Sayers 2 yard rush,6,7
2,4.0,Packers,Carroll Dale 33 yard pass from Zeke Bratkowski,6,13
