,Quarter,Time,Tm,Detail,DAL,ATL
0,1.0,4:48,Cowboys,Tim Seder 28 yard field goal,3,0
1,1.0,1:55,Falcons,Alge Crumpler 9 yard pass from Michael Vick (Jay Feely kick),3,7
2,2.0,10:45,Cowboys,Tim Seder 39 yard field goal,6,7
3,2.0,0:55,Cowboys,Jackie Harris 3 yard pass from Ryan Leaf (Tim Seder kick),13,7
4,3.0,10:34,Falcons,Jay Feely 31 yard field goal,13,10
5,4.0,5:20,Falcons,Brian Kozlowski 1 yard pass from Doug Johnson (Jay Feely kick),13,17
6,4.0,1:11,Falcons,Jay Feely 19 yard field goal,13,20
