,Quarter,Tm,Detail,GNB,RAM
0,1.0,Rams,Les Josephson 51 yard pass from Roman Gabriel (Bruce Gossett kick),0,7
1,2.0,Rams,Bruce Gossett 24 yard field goal,0,10
2,2.0,Rams,Bruce Gossett 21 yard field goal,0,13
3,2.0,Rams,Roman Gabriel 1 yard rush (Bruce Gossett kick),0,20
4,2.0,Packers,Boyd Dowler 5 yard pass from Bart Starr (Mike Mercer kick),7,20
5,2.0,Packers,Elijah Pitts 21 yard pass from Bart Starr (Mike Mercer kick),14,20
6,2.0,Rams,Wendell Tucker 11 yard pass from Roman Gabriel (Bruce Gossett kick),14,27
7,3.0,Rams,Roman Gabriel 1 yard rush (Bruce Gossett kick),14,34
8,4.0,Packers,Dave Hampton 3 yard rush (Mike Mercer kick),21,34
