,Quarter,Tm,Detail,DET,CRD
0,1.0,Cardinals,Bill Smith 28 yard field goal,0,3
1,1.0,Lions,Monk Moscrip 46 yard pass from Vern Huffman (Monk Moscrip kick),7,3
