,Quarter,Time,Tm,Detail,JAX,OAK
0,1.0,10:52,Raiders,Marcel Reece 11 yard rush (Sebastian Janikowski kick),0,7
1,2.0,7:45,Jaguars,Josh Scobee 27 yard field goal,3,7
2,2.0,0:03,Raiders,Sebastian Janikowski 46 yard field goal,3,10
3,3.0,9:18,Raiders,Sebastian Janikowski 30 yard field goal,3,13
4,4.0,13:49,Raiders,Sebastian Janikowski 29 yard field goal,3,16
5,4.0,6:00,Raiders,Sebastian Janikowski 29 yard field goal,3,19
6,4.0,2:53,Jaguars,Clay Harbor 13 yard pass from Chad Henne (pass failed),9,19
