,Quarter,Time,Tm,Detail,SDG,SEA
0,1.0,11:02,Chargers,Natrone Means 1 yard rush (John Carney kick),7,0
1,1.0,6:31,Seahawks,Todd Peterson 28 yard field goal,7,3
2,1.0,1:41,Chargers,John Carney 33 yard field goal,10,3
3,2.0,13:18,Seahawks,Todd Peterson 40 yard field goal,10,6
4,2.0,6:21,Chargers,John Carney 42 yard field goal,13,6
5,2.0,0:24,Seahawks,Todd Peterson 33 yard field goal,13,9
6,3.0,11:20,Seahawks,Derrick Mayes 14 yard pass from Jon Kitna (Todd Peterson kick),13,16
7,4.0,12:04,Chargers,John Carney 28 yard field goal,16,16
8,4.0,3:19,Chargers,John Carney 41 yard field goal,19,16
