,Quarter,Tm,Detail,CHI,RAI
0,1.0,Raiders,Marcus Allen 1 yard rush (Jeff Jaeger kick),0,7
1,1.0,Bears,Dennis Gentry 80 yard pass from Jim Harbaugh (Kevin Butler kick),7,7
2,1.0,Raiders,Jeff Jaeger 27 yard field goal,7,10
3,2.0,Raiders,Greg Townsend 1 yard defensive fumble return (Jeff Jaeger kick),7,17
4,2.0,Bears,Kevin Butler 22 yard field goal,10,17
5,4.0,Raiders,Marcus Allen 3 yard rush (Jeff Jaeger kick),10,24
