,Quarter,Tm,Detail,NOR,NYG
0,1.0,Saints,Eric Martin 63 yard pass from Dave Wilson (Morten Andersen kick),7,0
1,1.0,Saints,Dalton Hilliard 1 yard rush (Morten Andersen kick),14,0
2,2.0,Saints,Morten Andersen 27 yard field goal,17,0
3,2.0,Giants,Raul Allegre 29 yard field goal,17,3
4,2.0,Giants,Mark Bavaro 19 yard pass from Phil Simms (Raul Allegre kick),17,10
5,3.0,Giants,Raul Allegre 28 yard field goal,17,13
6,4.0,Giants,Zeke Mowatt 4 yard pass from Phil Simms (Raul Allegre kick),17,20
