,Quarter,Tm,Detail,NWE,SEA
0,2.0,Seahawks,John Kasay 30 yard field goal,0,3
1,3.0,Patriots,Scott Sisson 36 yard field goal,3,3
2,4.0,Patriots,Scott Sisson 25 yard field goal,6,3
3,4.0,Patriots,Scott Sisson 19 yard field goal,9,3
4,4.0,Seahawks,Brian Blades 1 yard pass from Rick Mirer (John Kasay kick),9,10
