,Quarter,Time,Tm,Detail,CIN,TEN
0,1.0,7:20,Titans,Rob Bironas 43 yard field goal,0,3
1,2.0,10:41,Bengals,Colin Cochart 1 yard pass from Andy Dalton (Mike Nugent kick),7,3
2,2.0,5:18,Titans,Damian Williams 8 yard pass from Matt Hasselbeck (Rob Bironas kick),7,10
3,2.0,0:08,Titans,Lavelle Hawkins 16 yard pass from Matt Hasselbeck (Rob Bironas kick),7,17
4,3.0,6:33,Bengals,Jerome Simpson 15 yard pass from Andy Dalton (Mike Nugent kick),14,17
5,4.0,10:52,Bengals,Andre Caldwell 5 yard pass from Andy Dalton (Mike Nugent kick),21,17
6,4.0,1:55,Bengals,Mike Nugent 36 yard field goal,24,17
