,Quarter,Tm,Detail,DET,MIN
0,1.0,Vikings,Jim Christopherson 16 yard field goal,0,3
1,2.0,Lions,Milt Plum 32 yard field goal,3,3
2,2.0,Vikings,Jim Christopherson 14 yard field goal,3,6
3,3.0,Lions,Jim Gibbons 5 yard pass from Earl Morrall (Wayne Walker kick),10,6
4,3.0,Lions,Jim Gibbons 2 yard pass from Earl Morrall (Wayne Walker kick),17,6
