,Quarter,Tm,Detail,MIN,PHO
0,2.0,Vikings,Hassan Jones 5 yard pass from Rich Gannon (Fuad Reveiz kick),7,0
1,3.0,Vikings,Herschel Walker 16 yard rush (Fuad Reveiz kick),14,0
2,4.0,Vikings,Herschel Walker 1 yard rush (Fuad Reveiz kick),21,0
3,4.0,Vikings,Herschel Walker 5 yard rush (Fuad Reveiz kick),28,0
