,Quarter,Time,Tm,Detail,DAL,PHI
0,1.0,9:36,Eagles,Jake Elliott 36 yard field goal,0,3
1,1.0,4:08,Eagles,Dallas Goedert 6 yard pass from Carson Wentz (Jake Elliott kick),0,10
2,2.0,13:00,Cowboys,Kai Forbath 49 yard field goal,3,10
3,2.0,0:06,Cowboys,Kai Forbath 32 yard field goal,6,10
4,3.0,0:09,Eagles,Miles Sanders 1 yard rush (Jake Elliott kick),6,17
5,4.0,8:04,Cowboys,Kai Forbath 49 yard field goal,9,17
