,Quarter,Time,Tm,Detail,OAK,SEA
0,1.0,11:05,Raiders,Tyrone Wheatley 7 yard rush (Michael Husted kick),7,0
1,1.0,3:36,Seahawks,Todd Peterson 28 yard field goal,7,3
2,2.0,11:08,Raiders,Tim Brown 6 yard pass from Rich Gannon (Michael Husted kick),14,3
3,2.0,0:59,Seahawks,Derrick Mayes 29 yard pass from Jon Kitna (pass failed),14,9
4,3.0,11:24,Raiders,Rickey Dudley 3 yard pass from Rich Gannon (Michael Husted kick),21,9
5,3.0,6:46,Seahawks,Reggie Brown 21 yard pass from Jon Kitna (Todd Peterson kick),21,16
6,3.0,1:58,Seahawks,Todd Peterson 29 yard field goal,21,19
7,4.0,10:07,Seahawks,Todd Peterson 45 yard field goal,21,22
