,Quarter,Tm,Detail,HOU,KAN
0,1.0,Chiefs,Nick Lowery 31 yard field goal,0,3
1,2.0,Oilers,Jamie Williams 2 yard pass from Warren Moon (Joe Cooper kick),7,3
2,2.0,Chiefs,Nick Lowery 38 yard field goal,7,6
3,3.0,Chiefs,Nick Lowery 33 yard field goal,7,9
4,4.0,Oilers,Warren Moon 1 yard rush (Joe Cooper kick),14,9
5,4.0,Oilers,Joe Cooper 44 yard field goal,17,9
6,4.0,Chiefs,Henry Marshall 4 yard pass from Todd Blackledge (Nick Lowery kick),17,16
