,Quarter,Tm,Detail,RAM,TAM
0,1.0,Rams,Buford McGee 6 yard pass from Jim Everett (Mike Lansford kick),7,0
1,1.0,Rams,Henry Ellard 14 yard pass from Jim Everett (Mike Lansford kick),14,0
2,2.0,Rams,Robert Delpino 10 yard pass from Jim Everett (Mike Lansford kick),21,0
3,2.0,Buccaneers,Bruce Hill 48 yard pass from Vinny Testaverde (Steve Christie kick),21,7
4,2.0,Rams,Bobby Humphery 44 yard interception return (Mike Lansford kick),28,7
5,3.0,Rams,Robert Delpino 42 yard pass from Jim Everett (Mike Lansford kick),35,7
6,4.0,Buccaneers,Gary Anderson 1 yard rush (Steve Christie kick),35,14
