,Quarter,Tm,Detail,CLE,PHI
0,1.0,Browns,Ernie Green 37 yard rush (Lou Groza kick),7,0
1,1.0,Eagles,Ollie Matson 1 yard rush (Sam Baker kick),7,7
2,2.0,Eagles,Sam Baker 12 yard field goal,7,10
3,2.0,Eagles,Sam Baker 42 yard field goal,7,13
4,3.0,Browns,Paul Warfield 24 yard pass from Frank Ryan (Lou Groza kick),14,13
5,3.0,Browns,Jim Brown 40 yard pass from Frank Ryan (Lou Groza kick),21,13
6,4.0,Browns,Gary Collins 12 yard pass from Frank Ryan (Lou Groza kick),28,13
7,4.0,Eagles,Ollie Matson 7 yard rush (Sam Baker kick),28,20
