,Quarter,Time,Tm,Detail,NYJ,OAK
0,1.0,14:03,Jets,Laveranues Coles 40 yard pass from Vinny Testaverde (John Hall kick),7,0
1,1.0,3:53,Raiders,Brad Daluiso 23 yard field goal,7,3
2,2.0,11:17,Raiders,Tyrone Wheatley 3 yard rush (Brad Daluiso kick failed),7,9
3,2.0,2:48,Jets,Jason Glenn 4 yard blocked punt return (John Hall kick),14,9
4,2.0,0:57,Raiders,Roland Williams 18 yard pass from Rich Gannon (Brad Daluiso kick),14,16
5,3.0,12:07,Raiders,Brad Daluiso 44 yard field goal,14,19
6,3.0,10:42,Jets,LaMont Jordan 46 yard rush (John Hall kick),21,19
7,4.0,6:05,Raiders,Brad Daluiso 37 yard field goal,21,22
8,4.0,0:59,Jets,John Hall 53 yard field goal,24,22
