,Quarter,Time,Tm,Detail,IND,MIA
0,1.0,7:14,Dolphins,Ray Lucas 2 yard rush (Olindo Mare kick),0,7
1,2.0,10:41,Dolphins,Chris Chambers 2 yard pass from Jay Fiedler (Olindo Mare kick),0,14
2,2.0,1:19,Dolphins,Jay Fiedler 9 yard rush (Olindo Mare kick failed),0,20
3,2.0,0:00,Colts,Mike Vanderjagt 35 yard field goal,3,20
4,3.0,9:52,Colts,Mike Vanderjagt 40 yard field goal,6,20
5,4.0,12:37,Dolphins,Chris Chambers 32 yard pass from Jay Fiedler (Olindo Mare kick),6,27
6,4.0,11:31,Dolphins,Oronde Gadsden 9 yard pass from Jay Fiedler (Olindo Mare kick),6,34
7,4.0,0:17,Dolphins,Rob Konrad 18 yard rush (Olindo Mare kick),6,41
