,Quarter,Tm,Detail,CLE,CIN
0,2.0,Bengals,Rodney Holman 8 yard pass from Boomer Esiason (Jim Gallery kick),0,7
1,2.0,Browns,Eric Metcalf 5 yard pass from Bernie Kosar (Matt Bahr kick),7,7
2,2.0,Bengals,Rodney Holman 16 yard pass from Boomer Esiason (Jim Gallery kick),7,14
3,2.0,Browns,Tim Manoa 6 yard pass from Bernie Kosar (Matt Bahr kick),14,14
4,3.0,Bengals,James Brooks 19 yard pass from Boomer Esiason (Jim Gallery kick),14,21
