,Quarter,Tm,Detail,PRT,GNB
0,1.0,Packers,Verne Lewellen 5 yard rush (Red Dunn kick),0,7
1,2.0,Packers,Verne Lewellen 1 yard rush (Red Dunn kick),0,14
2,2.0,Packers,Bo Molenda 1 yard rush,0,20
3,3.0,Packers,Herdis McCrary 42 yard pass from Red Dunn (Red Dunn kick),0,27
4,3.0,Spartans,Chief McLain 32 yard pass from Father Lumpkin,6,27
5,3.0,Packers,Herdis McCrary 27 yard pass from Red Dunn,6,33
6,4.0,Packers,Paul Fitzgibbon 1 yard rush (Bo Molenda kick),6,40
7,4.0,Spartans,Ray Novotny 9 yard rush (Tiny Lewis kick),13,40
8,4.0,Packers,Lavvie Dilweg 3 yard pass from Verne Lewellen (Bo Molenda kick),13,47
