,Quarter,Tm,Detail,GNB,BAL
0,1.0,Packers,Chester Marcol 52 yard field goal,3,0
1,1.0,Colts,Toni Linhart 37 yard field goal,3,3
2,2.0,Packers,MacArthur Lane 1 yard rush (Chester Marcol kick),10,3
3,2.0,Packers,Chester Marcol 39 yard field goal,13,3
4,2.0,Colts,Toni Linhart 23 yard field goal,13,6
5,3.0,Packers,MacArthur Lane 13 yard rush (Chester Marcol kick),20,6
6,4.0,Colts,Bill Olds 7 yard pass from Bert Jones (Toni Linhart kick),20,13
