,Quarter,Time,Tm,Detail,CIN,JAX
0,1.0,8:18,Jaguars,Stacey Mack 1 yard rush (Mike Hollis kick),0,7
1,2.0,9:33,Bengals,Neil Rackers 26 yard field goal,3,7
2,2.0,4:03,Bengals,Corey Dillon 7 yard rush (Neil Rackers kick),10,7
3,2.0,0:00,Bengals,Neil Rackers 52 yard field goal,13,7
4,3.0,10:29,Jaguars,Jimmy Smith 5 yard pass from Mark Brunell (Mike Hollis kick),13,14
5,3.0,4:25,Jaguars,Stacey Mack 2 yard rush (Mike Hollis kick),13,21
6,3.0,0:46,Jaguars,Keenan McCardell 20 yard pass from Mark Brunell (Mike Hollis kick),13,28
7,4.0,6:05,Jaguars,"Safety,",13,30
