,Quarter,Tm,Detail,DTX,PHI
0,1.0,Eagles,John Huzvar 5 yard rush (Bobby Walston kick),0,7
1,1.0,Eagles,Bud Grant 41 yard pass from Bobby Thomason (Bobby Walston kick),0,14
2,1.0,Eagles,Bobby Walston 29 yard field goal,0,17
3,2.0,Eagles,Ebert Van Buren fumble recovery in end zone (Bobby Walston kick),0,24
4,2.0,Texans,Buddy Young 1 yard rush (Pat Cannamela kick),7,24
5,3.0,Eagles,Bud Grant 23 yard pass from Bobby Thomason (Bobby Walston kick),7,31
6,3.0,Eagles,Vic Sears 9 yard interception return (Bobby Walston kick),7,38
7,4.0,Texans,Stan Williams 24 yard fumble return (Pat Cannamela kick),14,38
8,4.0,Texans,Dick Wilkins 42 yard pass from Frank Tripucka (Pat Cannamela kick),21,38
