,Quarter,Time,Tm,Detail,SFO,IND
0,1.0,7:04,Colts,Dominic Rhodes 1 yard rush (Mike Vanderjagt kick),0,7
1,1.0,2:26,49ers,Jose Cortez 30 yard field goal,3,7
2,2.0,13:02,49ers,J.J. Stokes 5 yard pass from Jeff Garcia (Jose Cortez kick),10,7
3,2.0,1:57,Colts,Marvin Harrison 15 yard pass from Peyton Manning (Mike Vanderjagt kick),10,14
4,2.0,0:57,49ers,Garrison Hearst 28 yard rush (Jose Cortez kick),17,14
5,2.0,0:00,49ers,Jose Cortez 46 yard field goal,20,14
6,3.0,10:56,Colts,Dominic Rhodes 1 yard rush (Mike Vanderjagt kick),20,21
7,3.0,3:05,49ers,Zack Bronson 48 yard interception return (Jose Cortez kick),27,21
8,4.0,14:53,49ers,Terrell Owens 35 yard pass from Jeff Garcia (pass failed),33,21
9,4.0,5:52,49ers,Garrison Hearst 43 yard rush (Jose Cortez kick),40,21
