,Quarter,Tm,Detail,DET,NYG
0,1.0,Giants,Raul Allegre 49 yard field goal,0,3
1,2.0,Lions,Richard Johnson 71 yard pass from Bob Gagliano (Eddie Murray kick),7,3
2,3.0,Lions,Barry Sanders 4 yard rush (Eddie Murray kick),14,3
3,3.0,Giants,Ottis Anderson 11 yard rush (Raul Allegre kick),14,10
4,3.0,Giants,Odessa Turner 9 yard pass from Phil Simms (Raul Allegre kick),14,17
5,4.0,Giants,Mark Bavaro 24 yard pass from Phil Simms (Raul Allegre kick),14,24
